internal_id,gtdb_genus,gtdb_family,gtdb_species
USHLN265,Stenotrophomonas,Xanthomonadaceae,Stenotrophomonas maltophilia_A
USMM131,Stenotrophomonas,Xanthomonadaceae,Stenotrophomonas maltophilia_A
USHLN272,Microbacterium,Microbacteriaceae,Microbacterium sp017405925
USHLN278,Aureimonas,Rhizobiaceae,Aureimonas altamirensis
USHLN268,Aureimonas,Rhizobiaceae,Aureimonas altamirensis
USHLN267,Chryseobacterium,Weeksellaceae,Chryseobacterium indologenes_F
USHLN271,Enterobacter,Enterobacteriaceae,Enterobacter hormaechei_A
USHLN298,Pantoea,Enterobacteriaceae,Pantoea sp002434205
USHLN270,Enterobacter,Enterobacteriaceae,Enterobacter hormaechei_A
USHLN261,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E juntendi
USHLN294,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E juntendi
USMM133,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E juntendi
USMM134,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E juntendi
USHLN293,Exiguobacterium_A,Exiguobacteraceae,Exiguobacterium_A acetylicum
USMM135,Exiguobacterium_A,Exiguobacteraceae,Exiguobacterium_A acetylicum
USMM136,Exiguobacterium_A,Exiguobacteraceae,Exiguobacterium_A acetylicum
USHLN295,Leclercia,Enterobacteriaceae,Leclercia adecarboxylata
USHLN291,Enterobacter,Enterobacteriaceae,Enterobacter hormaechei_A
USHLN262,Enterobacter,Enterobacteriaceae,Enterobacter hormaechei_A
USHLN273,Kurthia,Planococcaceae,Kurthia gibsonii
USHLN296,Enterobacter,Enterobacteriaceae,Enterobacter hormaechei_A
USHLN292,Leclercia,Enterobacteriaceae,Leclercia adecarboxylata
USHLN288,Leclercia,Enterobacteriaceae,Leclercia adecarboxylata
USHLN290,Leclercia,Enterobacteriaceae,Leclercia adecarboxylata
USMM125,Enterococcus,Enterococcaceae,Enterococcus faecalis
USHLN256,Pantoea,Enterobacteriaceae,Pantoea sp001187905
USHLN260,Erwinia,Enterobacteriaceae,Erwinia aphidicola
USMM128,Erwinia,Enterobacteriaceae,Erwinia aphidicola
USMM130,Erwinia,Enterobacteriaceae,Erwinia aphidicola
USHLN281,Erwinia,Enterobacteriaceae,Erwinia aphidicola
USHLN279,Pantoea,Enterobacteriaceae,Pantoea ananatis
USHLN280,Pantoea,Enterobacteriaceae,Pantoea ananatis
USHLN263,Providencia,Enterobacteriaceae,Providencia rettgeri
USHLN266,Providencia,Enterobacteriaceae,Providencia rettgeri
USHLN259,Chryseobacterium,Weeksellaceae,Chryseobacterium indologenes_F
USMM045,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E paracarnis
USMM046,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E paracarnis
USMM047,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E paracarnis
USMM048,Pseudomonas_E,Pseudomonadaceae,Pseudomonas_E paracarnis
USMM049,Elizabethkingia,Weeksellaceae,Elizabethkingia meningoseptica
USMM050,Elizabethkingia,Weeksellaceae,Elizabethkingia meningoseptica
